titulo,marca,modelo,version,anio,kms,precio,link
Hyundai I30 2014 1.8 Gls Seg L At,Hyundai,I30,1.8 Gls Seg L At,2014,146.000,17.800.000,https://auto.mercadolibre.com.ar/MLA-1897612833-hyundai-i30-18-gls-seg-l-at-_JM#polycard_client=search-desktop&price_drop=not_apply&be_origin=backend&overlay_label=not_apply&search_layout=grid&position=26&type=item&tracking_id=8cd89c19-2ce8-467c-86d0-718a4bd3c58e&sid=search
Renault Arkana 2026 1.3 E-tech Hybrid Espirit Alpine,Renault,Arkana,1.3 E-tech Hybrid Espirit Alpine,2026,3.900,45.200.000,https://auto.mercadolibre.com.ar/MLA-3604907060-renault-arkana-13-e-tech-hybrid-espirit-alpine-_JM#polycard_client=search-desktop&price_drop=not_apply&be_origin=backend&overlay_label=not_apply&search_layout=grid&position=27&type=item&tracking_id=8cd89c19-2ce8-467c-86d0-718a4bd3c58e&sid=search
Chevrolet Captiva 2012 2.4 Lt Mt Awd 167cv,Chevrolet,Captiva,2.4 Lt Mt Awd 167cv,2012,168.000,14.715.000,https://auto.mercadolibre.com.ar/MLA-1896857475-chevrolet-captiva-24-lt-mt-awd-167cv-_JM#polycard_client=search-desktop&price_drop=not_apply&be_origin=backend&overlay_label=not_apply&search_layout=grid&position=28&type=item&tracking_id=8cd89c19-2ce8-467c-86d0-718a4bd3c58e&sid=search
Chevrolet Tracker 2019 1.8 Premier Fwd Mt 140cv,Chevrolet,Tracker,1.8 Premier Fwd Mt 140cv,2019,116.000,25.600.000,https://auto.mercadolibre.com.ar/MLA-1902479971-chevrolet-tracker-18-premier-fwd-mt-140cv-_JM#polycard_client=search-desktop&price_drop=not_apply&be_origin=backend&overlay_label=not_apply&search_layout=grid&position=29&type=item&tracking_id=8cd89c19-2ce8-467c-86d0-718a4bd3c58e&sid=search
Fiat Pulse 2022 1.0 Impetus T3 Cvt,Fiat,Pulse,1.0 Impetus T3 Cvt,2022,90.000,27.500.777,https://auto.mercadolibre.com.ar/MLA-3605501660-fiat-pulse-10-impetus-t3-cvt-_JM#polycard_client=search-desktop&price_drop=not_apply&be_origin=backend&overlay_label=not_apply&search_layout=grid&position=30&type=item&tracking_id=8cd89c19-2ce8-467c-86d0-718a4bd3c58e&sid=search
Volkswagen Taos 2021 1.4 250 Tsi Highline,Volkswagen,Taos,1.4 250 Tsi Highline,2021,90.000,35.600.000,https://auto.mercadolibre.com.ar/MLA-1896857451-volkswagen-taos-14-250-tsi-highline-_JM#polycard_client=search-desktop&price_drop=not_apply&be_origin=backend&overlay_label=not_apply&search_layout=grid&position=31&type=item&tracking_id=8cd89c19-2ce8-467c-86d0-718a4bd3c58e&sid=search
Fiat Abarth 2018 595 Turismo 1.4,Fiat,Abarth,595 Turismo 1.4,2018,76.100,30.300.000,https://auto.mercadolibre.com.ar/MLA-3604893282-fiat-abarth-595-turismo-14-_JM#polycard_client=search-desktop&price_drop=not_apply&be_origin=backend&overlay_label=not_apply&search_layout=grid&position=32&type=item&tracking_id=8cd89c19-2ce8-467c-86d0-718a4bd3c58e&sid=search
Volkswagen T-cross 2022 1.0 200 Tsi Highline Aut,Volkswagen,T-cross,1.0 200 Tsi Highline Aut,2022,120.000,30.600.000,https://auto.mercadolibre.com.ar/MLA-1895521249-volkswagen-t-cross-10-200-tsi-highline-aut-_JM#polycard_client=search-desktop&price_drop=not_apply&be_origin=backend&overlay_label=not_apply&search_layout=grid&position=33&type=item&tracking_id=8cd89c19-2ce8-467c-86d0-718a4bd3c58e&sid=search
Jeep Renegade 2018 2.0 Trailhawk At9 4x4,Jeep,Renegade,2.0 Trailhawk At9 4x4,2018,92.700,31.500.000,https://auto.mercadolibre.com.ar/MLA-3605787916-jeep-renegade-20-trailhawk-at9-4x4-_JM#polycard_client=search-desktop&price_drop=not_apply&be_origin=backend&overlay_label=not_apply&search_layout=grid&position=34&type=item&tracking_id=8cd89c19-2ce8-467c-86d0-718a4bd3c58e&sid=search
Renault Kwid 2018 1.0 Sce 66cv Zen,Renault,Kwid,1.0 Sce 66cv Zen,2018,76.500,12.200.000,https://auto.mercadolibre.com.ar/MLA-1900165461-renault-kwid-_JM#polycard_client=search-desktop&price_drop=not_apply&be_origin=backend&overlay_label=not_apply&search_layout=grid&position=35&type=item&tracking_id=8cd89c19-2ce8-467c-86d0-718a4bd3c58e&sid=search
Volkswagen T-cross 2020 1.6 Highline At,Volkswagen,T-cross,1.6 Highline At,2020,115.500,25.200.000,https://auto.mercadolibre.com.ar/MLA-3618038842-volkswagen-t-cross-16-highline-at-_JM#polycard_client=search-desktop&price_drop=not_apply&be_origin=backend&overlay_label=not_apply&search_layout=grid&position=36&type=item&tracking_id=8cd89c19-2ce8-467c-86d0-718a4bd3c58e&sid=search
Volkswagen Vento 2016 2.5 Luxury 170cv,Volkswagen,Vento,2.5 Luxury 170cv,2016,145.000,19.700.000,https://auto.mercadolibre.com.ar/MLA-1929363371-volkswagen-vento-25-luxury-170cv-_JM#polycard_client=search-desktop&price_drop=not_apply&be_origin=backend&overlay_label=not_apply&search_layout=grid&position=37&type=item&tracking_id=8cd89c19-2ce8-467c-86d0-718a4bd3c58e&sid=search
Volkswagen Polo 2022 1.6 Msi Trendline,Volkswagen,Polo,1.6 Msi Trendline,2022,42.000,22.000.000,https://auto.mercadolibre.com.ar/MLA-3618040812-volkswagen-polo-16-msi-trendline-_JM#polycard_client=search-desktop&price_drop=not_apply&be_origin=backend&overlay_label=not_apply&search_layout=grid&position=38&type=item&tracking_id=8cd89c19-2ce8-467c-86d0-718a4bd3c58e&sid=search
RAM Rampage 2024 2.0 Rebel Gme At9 4x4,RAM,Rampage,2.0 Rebel Gme At9 4x4,2024,24.000,47.300.000,https://auto.mercadolibre.com.ar/MLA-3605827246-ram-rampage-20-rebel-gme-at9-4x4-_JM#polycard_client=search-desktop&price_drop=not_apply&be_origin=backend&overlay_label=not_apply&search_layout=grid&position=39&type=item&tracking_id=8cd89c19-2ce8-467c-86d0-718a4bd3c58e&sid=search
Volkswagen Vento 2017 2.5 Advance Plus 170cv,Volkswagen,Vento,2.5 Advance Plus 170cv,2017,104.000,20.700.000,https://auto.mercadolibre.com.ar/MLA-3605808114-volkswagen-vento-25-advance-plus-170cv-_JM#polycard_client=search-desktop&price_drop=not_apply&be_origin=backend&overlay_label=not_apply&search_layout=grid&position=40&type=item&tracking_id=8cd89c19-2ce8-467c-86d0-718a4bd3c58e&sid=search
Ford Bronco Sport 2022 1.5 4wd Big Bend At8,Ford,Bronco,Sport 2022 1.5 4wd Big Bend At8,2022,38.000,45.000.000,https://auto.mercadolibre.com.ar/MLA-1895319765-ford-bronco-sport-15-4wd-big-bend-at8-_JM#polycard_client=search-desktop&price_drop=not_apply&be_origin=backend&overlay_label=not_apply&search_layout=grid&position=41&type=item&tracking_id=8cd89c19-2ce8-467c-86d0-718a4bd3c58e&sid=search
Chevrolet Tracker 2018 1.8 Premier+ Awd At 140cv,Chevrolet,Tracker,1.8 Premier+ Awd At 140cv,2018,92.000,23.750.000,https://auto.mercadolibre.com.ar/MLA-3623134380-chevrolet-tracker-18-premier-awd-at-140cv-_JM#polycard_client=search-desktop&price_drop=not_apply&be_origin=backend&overlay_label=not_apply&search_layout=grid&position=42&type=item&tracking_id=8cd89c19-2ce8-467c-86d0-718a4bd3c58e&sid=search
Peugeot 2008 2019 1.6 Crossway,Peugeot,2008,1.6 Crossway,2019,82.500,19.410.000,https://auto.mercadolibre.com.ar/MLA-1895494341-peugeot-2008-16-crossway-_JM#polycard_client=search-desktop&price_drop=not_apply&be_origin=backend&overlay_label=not_apply&search_layout=grid&position=43&type=item&tracking_id=8cd89c19-2ce8-467c-86d0-718a4bd3c58e&sid=search
Ford Focus 2019 2.0 Ghia,Ford,Focus,2.0 Ghia,2019,180.000,18.200.776,https://auto.mercadolibre.com.ar/MLA-1901966571-ford-focus-s-2019-_JM#polycard_client=search-desktop&price_drop=not_apply&be_origin=backend&overlay_label=not_apply&search_layout=grid&position=44&type=item&tracking_id=8cd89c19-2ce8-467c-86d0-718a4bd3c58e&sid=search
Ford Ecosport 2017 1.5 Se 123cv 4x2,Ford,Ecosport,1.5 Se 123cv 4x2,2017,95.000,19.200.000,https://auto.mercadolibre.com.ar/MLA-3605783154-ford-ecosport-15-se-123cv-4x2-_JM#polycard_client=search-desktop&price_drop=not_apply&be_origin=backend&overlay_label=not_apply&search_layout=grid&position=45&type=item&tracking_id=8cd89c19-2ce8-467c-86d0-718a4bd3c58e&sid=search
Ford Ecosport 2014 2.0 Titanium 143cv 4x2,Ford,Ecosport,2.0 Titanium 143cv 4x2,2014,151.000,16.000.000,https://auto.mercadolibre.com.ar/MLA-3605546748-ford-ecosport-20-titanium-143cv-4x2-_JM#polycard_client=search-desktop&price_drop=not_apply&be_origin=backend&overlay_label=not_apply&search_layout=grid&position=46&type=item&tracking_id=8cd89c19-2ce8-467c-86d0-718a4bd3c58e&sid=search
Ford Ranger 2023 3.2 Cd Xls Tdci 200cv 4x2,Ford,Ranger,3.2 Cd Xls Tdci 200cv 4x2,2023,73.600,35.800.000,https://auto.mercadolibre.com.ar/MLA-1895487827-ford-ranger-32-cd-xls-tdci-200cv-4x2-_JM#polycard_client=search-desktop&price_drop=not_apply&be_origin=backend&overlay_label=not_apply&search_layout=grid&position=47&type=item&tracking_id=8cd89c19-2ce8-467c-86d0-718a4bd3c58e&sid=search
Chery Tiggo 3 2017 1.6 Luxury,Chery,Tiggo,3 2017 1.6 Luxury,2017,102.000,18.000.000,https://auto.mercadolibre.com.ar/MLA-3605565420-chery-tiggo-3-16-luxury-_JM#polycard_client=search-desktop&price_drop=not_apply&be_origin=backend&overlay_label=not_apply&search_layout=grid&position=48&type=item&tracking_id=8cd89c19-2ce8-467c-86d0-718a4bd3c58e&sid=search
Ford Bronco Sport 2021 1.5 4wd Big Bend At8,Ford,Bronco,Sport 2021 1.5 4wd Big Bend At8,2021,112.000,43.600.000,https://auto.mercadolibre.com.ar/MLA-1899812619-ford-bronco-sport-15-4wd-big-bend-at8-_JM#polycard_client=search-desktop&price_drop=not_apply&be_origin=backend&overlay_label=not_apply&search_layout=grid&position=1&type=item&tracking_id=729cb038-ad04-424e-a1ef-ab49eb4ead65&sid=search
Toyota Corolla Cross 2022 1.8 Xei Ecvt,Toyota,Corolla,Cross 2022 1.8 Xei Ecvt,2022,88.000,34.200.777,https://auto.mercadolibre.com.ar/MLA-1895493445-toyota-corolla-cross-18-xei-ecvt-_JM#polycard_client=search-desktop&price_drop=not_apply&be_origin=backend&overlay_label=not_apply&search_layout=grid&position=2&type=item&tracking_id=729cb038-ad04-424e-a1ef-ab49eb4ead65&sid=search
Volkswagen Amarok 2012 2.0 Cd Tdi 4x2 Startline S/airbag S12,Volkswagen,Amarok,2.0 Cd Tdi 4x2 Startline S/airbag S12,2012,128.000,23.000.000,https://auto.mercadolibre.com.ar/MLA-3612036640-volkswagen-amarok-20-cd-tdi-4x2-startline-sairbag-s12-_JM#polycard_client=search-desktop&price_drop=not_apply&be_origin=backend&overlay_label=not_apply&search_layout=grid&position=3&type=item&tracking_id=729cb038-ad04-424e-a1ef-ab49eb4ead65&sid=search
Toyota Corolla Cross 2022 2.0 Seg Cvt,Toyota,Corolla,Cross 2022 2.0 Seg Cvt,2022,45.000,40.900.000,https://auto.mercadolibre.com.ar/MLA-3613118388-toyota-corolla-cross-20-seg-cvt-_JM#polycard_client=search-desktop&price_drop=not_apply&be_origin=backend&overlay_label=not_apply&search_layout=grid&position=4&type=item&tracking_id=729cb038-ad04-424e-a1ef-ab49eb4ead65&sid=search
Ford Focus 2015 2.0 Se Plus At6,Ford,Focus,2.0 Se Plus At6,2015,156.000,16.000.000,https://auto.mercadolibre.com.ar/MLA-3606284354-focus-20-5-puertas-se-plus-aut-_JM#polycard_client=search-desktop&price_drop=not_apply&be_origin=backend&overlay_label=not_apply&search_layout=grid&position=5&type=item&tracking_id=729cb038-ad04-424e-a1ef-ab49eb4ead65&sid=search
Ford Fiesta 2015 Titanium Powershift,Ford,Fiesta,Titanium Powershift,2015,80.000,18.400.000,https://auto.mercadolibre.com.ar/MLA-1895285619-fiesta-titanium-powershift-_JM#polycard_client=search-desktop&price_drop=not_apply&be_origin=backend&overlay_label=not_apply&search_layout=grid&position=6&type=item&tracking_id=729cb038-ad04-424e-a1ef-ab49eb4ead65&sid=search
Ford Fiesta Kinetic 2018 1.6 Sedan Titanium Powershift 120cv,Ford,Fiesta,Kinetic 2018 1.6 Sedan Titanium Powershift 120cv,2018,140.000,10.000.000,https://auto.mercadolibre.com.ar/MLA-3618473252-ford-fiesta-kinetic-16-sedan-titanium-powershift-120cv-_JM#polycard_client=search-desktop&price_drop=not_apply&be_origin=backend&overlay_label=not_apply&search_layout=grid&position=7&type=item&tracking_id=729cb038-ad04-424e-a1ef-ab49eb4ead65&sid=search
Ford Kuga 2025 2.5 Platinum Hibrida 4x4 At,Ford,Kuga,2.5 Platinum Hibrida 4x4 At,2025,20.000,49.000,https://auto.mercadolibre.com.ar/MLA-1895317773-ford-kuga-25-platinum-hibrida-4x4-at-_JM#polycard_client=search-desktop&price_drop=not_apply&be_origin=backend&overlay_label=not_apply&search_layout=grid&position=8&type=item&tracking_id=729cb038-ad04-424e-a1ef-ab49eb4ead65&sid=search
